SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
13-1051,Cost Estimators,0.2547360532,221.4,212.1,-9.3,-4.2,16.9,"77,070",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
13-1071,Human Resources Specialists,0.2007163393,944.3,"1,002.70",58.4,6.2,81.8,"72,910",Bachelor's degree,3,None,4,None,
13-1074,Farm Labor Contractors,0.09466102158,3.9,4.2,0.2,6,0.3,"48,690",No formal educational credential,8,Less than 5 years,2,Short-term on-the-job training,
13-1075,Labor Relations Specialists,0.067259312,65.4,65.4,-0.1,-0.1,5.1,"93,500",Bachelor's degree,3,Less than 5 years,2,None,
13-1081,Logisticians,0.1623173857,241,281.3,40.3,16.7,26.4,"80,880",Bachelor's degree,3,None,4,None,
13-1082,Project Management Specialists,0.1823980419,"1,046.30","1,105.00",58.7,5.6,78.2,"100,750",Bachelor's degree,3,None,4,None,
13-1111,Management Analysts,0.3528923038,"1,075.10","1,169.70",94.5,8.8,98.1,"101,190",Bachelor's degree,3,Less than 5 years,2,None,
13-1121,"Meeting, Convention, and Event Planners",0.1465079327,155.8,163.3,7.5,4.8,15.5,"59,440",Bachelor's degree,3,None,4,None,
13-1131,Fundraisers,0.1251943303,134.4,140.2,5.8,4.3,10.2,"66,490",Bachelor's degree,3,None,4,None,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.1671532331,107,112.7,5.6,5.3,8.5,"77,020",Bachelor's degree,3,Less than 5 years,2,None,
13-1151,Training and Development Specialists,0.2417476425,452.3,501,48.7,10.8,43.9,"65,850",Bachelor's degree,3,Less than 5 years,2,None,
13-1161,Market Research Analysts and Marketing Specialists,0.3497337016,941.7,"1,004.70",63,6.7,87.2,"76,950",Bachelor's degree,3,None,4,None,
13-1199,"Business Operations Specialists, All Other",0.2234710058,"1,205.70","1,242.00",36.3,3,108.2,"81,270",Bachelor's degree,3,None,4,None,
13-2011,Accountants and Auditors,0.203248095,"1,579.80","1,652.60",72.8,4.6,124.2,"81,680",Bachelor's degree,3,None,4,None,
13-2020,Property Appraisers and Assessors,0.231116604,77.3,80.2,2.9,3.8,6.3,"65,420",Bachelor's degree,3,None,4,Long-term on-the-job training,
13-2031,Budget Analysts,0.2340858486,50.4,51,0.5,1,3.1,"87,930",Bachelor's degree,3,None,4,None,
13-2041,Credit Analysts,0.1616323363,67.8,64.8,-3,-4.4,3.7,"80,970",Bachelor's degree,3,None,4,None,
13-2051,Financial and Investment Analysts,0.2783547531,368.5,389.6,21.1,5.7,25.1,"101,350",Bachelor's degree,3,None,4,None,
13-2052,Personal Financial Advisors,0.3552253489,326,357.2,31.2,9.6,24.1,"102,140",Bachelor's degree,3,None,4,Long-term on-the-job training,
13-2053,Insurance Underwriters,0.1609551765,127,123.7,-3.3,-2.6,8.2,"79,880",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
13-2054,Financial Risk Specialists,0.2411608239,60.5,64.4,3.9,6.5,4.8,"106,000",Bachelor's degree,3,None,4,None,
13-2061,Financial Examiners,0.1423540351,65.1,77.2,12.1,18.5,5.7,"90,400",Bachelor's degree,3,None,4,Long-term on-the-job training,
13-2071,Credit Counselors,0.2885017179,31.8,32.9,1.1,3.3,2.2,"50,480",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
13-2072,Loan Officers,0.2470758453,301.4,306.5,5,1.7,20.3,"74,180",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.3399250266,57.6,56.5,-1,-1.8,4.3,"59,740",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
13-2082,Tax Preparers,0.3116015023,90.6,94.7,4.1,4.5,10.4,"50,560",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
13-2099,"Financial Specialists, All Other",0.2494183005,137.1,141.4,4.3,3.1,10.3,"80,190",Bachelor's degree,3,None,4,None,
15-1211,Computer Systems Analysts,0.3154295398,521.1,566.5,45.5,8.7,34.2,"103,790",Bachelor's degree,3,None,4,None,
15-1212,Information Security Analysts,0.2219611272,182.8,234.9,52.1,28.5,16,"124,910",Bachelor's degree,3,Less than 5 years,2,None,
15-1221,Computer and Information Research Scientists,0.1692589724,40.3,48.3,7.9,19.7,3.2,"140,910",Master's degree,2,None,4,None,
15-1231,Computer Network Support Specialists,0.3144069282,152.7,155.5,2.8,1.8,9.6,"73,340",Associate's degree,4,None,4,Moderate-term on-the-job training,
15-1232,Computer User Support Specialists,0.3406960517,729.5,702.5,-27,-3.7,40.8,"60,340","Some college, no degree",6,None,4,Moderate-term on-the-job training,
15-1241,Computer Network Architects,0.2572961979,179.2,200.6,21.4,11.9,11.2,"130,390",Bachelor's degree,3,5 years or more,1,None,
15-1242,Database Administrators,0.2973959597,78,77.5,-0.5,-0.7,3.8,"104,620",Bachelor's degree,3,None,4,None,
15-1243,Database Architects,0.3119656546,66.9,72.7,5.8,8.7,4,"135,980",Bachelor's degree,3,Less than 5 years,2,None,
15-1244,Network and Computer Systems Administrators,0.2663084289,331.5,317.7,-13.8,-4.2,14.3,"96,800",Bachelor's degree,3,None,4,None,
15-1251,Computer Programmers,0.3100317882,121.2,113.9,-7.2,-6,5.5,"98,670",Bachelor's degree,3,None,4,None,
15-1252,Software Developers,0.2838686406,"1,693.80","1,961.40",267.7,15.8,115.2,"133,080",Bachelor's degree,3,None,4,None,
15-1253,Software Quality Assurance Analysts and Testers,0.3277339225,201.7,221.9,20.2,10,14,"102,610",Bachelor's degree,3,None,4,None,
15-1254,Web Developers,0.3531275801,86,92.5,6.5,7.5,5.4,"90,930",Bachelor's degree,3,None,4,None,
15-1255,Web and Digital Interface Designers,0.2940247387,128.9,137.9,9,7,9.1,"98,090",Bachelor's degree,3,None,4,None,
15-1299,"Computer Occupations, All Other",0.2994614545,472,510.5,38.5,8.2,31.3,"108,970",Bachelor's degree,3,None,4,None,
15-2011,Actuaries,0.1581477989,33.6,40.9,7.3,21.8,2.4,"125,770",Bachelor's degree,3,None,4,Long-term on-the-job training,
15-2021,Mathematicians,0.3861702757,2.4,2.4,0,-0.7,0.1,"121,680",Master's degree,2,None,4,None,
15-2031,Operations Research Analysts,0.3074955647,112.1,136.2,24.1,21.5,9.6,"91,290",Bachelor's degree,3,None,4,None,
15-2041,Statisticians,0.3150171176,32.2,34.9,2.7,8.5,2,"103,300",Master's degree,2,None,4,None,
15-2051,Data Scientists,0.357163276,245.9,328.3,82.5,33.5,23.4,"112,590",Bachelor's degree,3,None,4,None,
15-2099,"Mathematical Science Occupations, All Other",0.3358430178,5,5.2,0.2,4,0.3,"71,490",Bachelor's degree,3,None,4,None,
17-1011,"Architects, Except Landscape and Naval",0.1749167204,123.6,128.4,4.8,3.9,7.8,"96,690",Bachelor's degree,3,None,4,Internship/residency,
17-1012,Landscape Architects,0.2184226277,21.8,22.6,0.8,3.5,1.7,"79,660",Bachelor's degree,3,None,4,Internship/residency,
17-1021,Cartographers and Photogrammetrists,0.1852708704,13.4,14.3,0.9,6.4,1,"78,380",Bachelor's degree,3,None,4,None,
17-1022,Surveyors,0.150815824,56.1,58.6,2.5,4.4,3.9,"72,740",Bachelor's degree,3,None,4,Internship/residency,
17-2011,Aerospace Engineers,0.1955306356,71.6,75.9,4.4,6.1,4.5,"134,830",Bachelor's degree,3,None,4,None,
17-2021,Agricultural Engineers,0.1527920619,1.7,1.8,0.1,5.9,0.1,"84,630",Bachelor's degree,3,None,4,None,
17-2031,Bioengineers and Biomedical Engineers,0.3083283093,22.2,23.3,1.1,5.2,1.3,"106,950",Bachelor's degree,3,None,4,None,
17-2041,Chemical Engineers,0.1962682531,21.6,22.1,0.6,2.6,1.1,"121,860",Bachelor's degree,3,None,4,None,
17-2051,Civil Engineers,0.2053823864,368.9,387.5,18.5,5,23.6,"99,590",Bachelor's degree,3,None,4,None,
17-2061,Computer Hardware Engineers,0.3219327085,76.8,82.4,5.6,7.3,4.7,"155,020",Bachelor's degree,3,None,4,None,
17-2071,Electrical Engineers,0.1101683401,192,205.7,13.8,7.2,11.7,"111,910",Bachelor's degree,3,None,4,None,
17-2072,"Electronics Engineers, Except Computer",0.2739362945,95.9,101.8,6,6.2,5.7,"127,590",Bachelor's degree,3,None,4,None,
17-2081,Environmental Engineers,0.208284269,39.4,41,1.5,3.9,3,"104,170",Bachelor's degree,3,None,4,None,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.2467613688,23.8,24.9,1.1,4.4,1.5,"109,660",Bachelor's degree,3,None,4,None,
17-2112,Industrial Engineers,0.2576044811,351.1,389.6,38.5,11,25.2,"101,140",Bachelor's degree,3,None,4,None,
17-2121,Marine Engineers and Naval Architects,0.2056788796,8.5,9,0.5,5.8,0.6,"105,670",Bachelor's degree,3,None,4,None,
17-2131,Materials Engineers,0.1867535246,23,24.3,1.3,5.7,1.5,"108,310",Bachelor's degree,3,None,4,None,
17-2141,Mechanical Engineers,0.2647498802,293.1,319.6,26.5,9.1,18.1,"102,320",Bachelor's degree,3,None,4,None,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.2330225979,7,7,0,0.7,0.4,"101,020",Bachelor's degree,3,None,4,None,
17-2161,Nuclear Engineers,0.2094834121,15.4,15.3,-0.2,-1.1,0.8,"127,520",Bachelor's degree,3,None,4,None,
17-2171,Petroleum Engineers,0.2003085702,19.6,19.8,0.2,1.3,1.2,"141,280",Bachelor's degree,3,None,4,None,
17-2199,"Engineers, All Other",0.2207281234,158.8,162.1,3.3,2.1,9.3,"117,750",Bachelor's degree,3,None,4,None,
17-3011,Architectural and Civil Drafters,0.2264068657,110.5,115.1,4.6,4.1,10,"64,280",Associate's degree,4,None,4,None,
17-3012,Electrical and Electronics Drafters,0.3133754503,21.6,20.4,-1.2,-5.6,1.7,"73,720",Associate's degree,4,None,4,None,
17-3013,Mechanical Drafters,0.185041858,42.9,40.1,-2.8,-6.5,3.3,"68,510",Associate's degree,4,None,4,None,
17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.2371456149,9.3,10.1,0.8,8.1,0.9,"79,830",Associate's degree,4,None,4,None,
17-3022,Civil Engineering Technologists and Technicians,0.1994199274,64.9,66.2,1.4,2.1,5.5,"64,200",Associate's degree,4,None,4,None,
17-3023,Electrical and Electronic Engineering Technologists and Technicians,0.2086599698,93.7,94.3,0.6,0.6,8.4,"77,180",Associate's degree,4,None,4,None,
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,0.1891696006,15,15.1,0.2,1.1,1.3,"70,760",Associate's degree,4,None,4,None,
17-3025,Environmental Engineering Technologists and Technicians,0.1801749677,12.9,13,0.1,1.2,1.1,"58,890",Associate's degree,4,None,4,None,
17-3026,Industrial Engineering Technologists and Technicians,0.1802347673,74.6,75.9,1.3,1.7,6.3,"64,790",Associate's degree,4,None,4,None,
17-3027,Mechanical Engineering Technologists and Technicians,0.2338095311,38.3,38.3,0,0,3.2,"68,730",Associate's degree,4,None,4,None,
17-3028,Calibration Technologists and Technicians,0.2624481808,15.8,16.5,0.7,4.7,1.4,"65,040",Associate's degree,4,None,4,None,
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",0.2168088039,67.3,68.3,1,1.5,5.7,"77,390",Associate's degree,4,None,4,None,
17-3031,Surveying and Mapping Technicians,0.2219576064,59.4,62.1,2.7,4.5,7.6,"51,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
19-1011,Animal Scientists,0.2619530528,2.8,2.9,0.2,5.8,0.2,"79,120",Bachelor's degree,3,None,4,None,
19-1012,Food Scientists and Technologists,0.2709011068,15.2,16.2,1,6.5,1.2,"85,310",Bachelor's degree,3,None,4,None,
19-1013,Soil and Plant Scientists,0.1992617504,20.7,21.8,1.1,5.4,1.7,"71,410",Bachelor's degree,3,None,4,None,
19-1021,Biochemists and Biophysicists,0.2561833436,35.6,37.6,2.1,5.8,2.9,"103,650",Doctoral or professional degree,1,None,4,None,
19-1022,Microbiologists,0.1891463655,20.7,21.6,0.8,4.1,1.7,"87,330",Bachelor's degree,3,None,4,None,
19-1023,Zoologists and Wildlife Biologists,0.2120415547,18.2,18.5,0.3,1.6,1.4,"72,860",Bachelor's degree,3,None,4,None,
19-1029,"Biological Scientists, All Other",0.245827226,63.7,64.5,0.8,1.2,4.8,"93,330",Bachelor's degree,3,None,4,None,
19-1031,Conservation Scientists,0.1648634993,28.5,29.5,1,3.4,2.5,"67,950",Bachelor's degree,3,None,4,None,
19-1032,Foresters,0.06963320152,13.8,14,0.2,1.2,1.1,"70,660",Bachelor's degree,3,None,4,None,
19-1041,Epidemiologists,0.1806138445,12.3,14.3,2,16.2,0.8,"83,980",Master's degree,2,None,4,None,
19-1042,"Medical Scientists, Except Epidemiologists",0.2039546046,165.3,179.6,14.3,8.7,9.6,"100,590",Doctoral or professional degree,1,None,4,None,
19-2011,Astronomers,0.2810275604,1.8,1.8,0,2.2,0.1,"132,170",Doctoral or professional degree,1,None,4,None,
19-2012,Physicists,0.2434205776,24.6,25.6,1,4,1.7,"166,290",Doctoral or professional degree,1,None,4,None,
19-2021,Atmospheric and Space Scientists,0.3214338447,9.4,9.5,0.1,0.7,0.7,"97,450",Bachelor's degree,3,None,4,None,
19-2031,Chemists,0.2565107147,86.8,91,4.3,4.9,6.3,"84,150",Bachelor's degree,3,None,4,None,
19-2032,Materials Scientists,0.2454798898,8.7,9.1,0.4,4.9,0.6,"104,160",Bachelor's degree,3,None,4,None,
19-2041,"Environmental Scientists and Specialists, Including Health",0.1736195194,90.3,94.3,4,4.4,8.5,"80,060",Bachelor's degree,3,None,4,None,
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.173738199,25.1,26,0.8,3.2,2,"99,240",Bachelor's degree,3,None,4,None,
19-2043,Hydrologists,0.1804801119,6.3,6.3,0,-0.1,0.5,"92,060",Bachelor's degree,3,None,4,None,
19-2099,"Physical Scientists, All Other",0.1699525235,31.9,32.1,0.2,0.6,2,"117,960",Bachelor's degree,3,None,4,None,
19-3011,Economists,0.3277389094,17.6,17.8,0.2,1.2,0.9,"115,440",Master's degree,2,None,4,None,
19-3022,Survey Researchers,0.131145422,8.8,8.3,-0.5,-5.2,0.7,"63,380",Master's degree,2,None,4,None,
19-3032,Industrial-Organizational Psychologists,0.2574277996,5.6,5.9,0.3,6.3,0.4,"109,840",Master's degree,2,None,4,Internship/residency,
19-3033,Clinical and Counseling Psychologists,0.2113936549,76.3,84.8,8.5,11.2,4.8,"95,830",Doctoral or professional degree,1,None,4,Internship/residency,
19-3034,School Psychologists,0.2227325441,67.2,67.7,0.5,0.7,3.8,"86,930",Master's degree,2,None,4,Internship/residency,
19-3039,"Psychologists, All Other",0.1997281248,55.3,57.7,2.4,4.3,3.9,"117,580",Master's degree,2,None,4,Internship/residency,
19-3041,Sociologists,0.2862931919,3.4,3.6,0.1,3.6,0.3,"101,690",Master's degree,2,None,4,None,
19-3051,Urban and Regional Planners,0.3298075492,44.7,46.2,1.5,3.4,3.4,"83,720",Master's degree,2,None,4,None,
19-3091,Anthropologists and Archeologists,0.2156056956,8.8,9.2,0.3,3.7,0.8,"64,910",Master's degree,2,None,4,None,
19-3092,Geographers,0.3524044288,1.5,1.5,0,-3.1,0.1,"97,200",Bachelor's degree,3,None,4,None,
19-3093,Historians,0.4770423609,3.4,3.5,0.1,2.2,0.3,"74,050",Master's degree,2,None,4,None,
19-3094,Political Scientists,0.391032324,6.5,6.3,-0.2,-3.1,0.5,"139,380",Master's degree,2,None,4,None,
19-3099,"Social Scientists and Related Workers, All Other",0.3293075795,40.8,40.1,-0.7,-1.7,3.2,"100,340",Bachelor's degree,3,None,4,None,
19-4012,Agricultural Technicians,0.1300770918,18.6,19.4,0.8,4.3,2.9,"46,790",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4013,Food Science Technicians,0.1013452676,20.4,21.3,1,4.8,3.2,"49,430",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4021,Biological Technicians,0.09129871611,82.7,85.6,2.9,3.5,9.1,"52,000",Bachelor's degree,3,None,4,None,
19-4031,Chemical Technicians,0.1568241823,57,59,2.1,3.7,6.7,"57,790",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4042,"Environmental Science and Protection Technicians, Including Health",0.1541341636,40.4,42.1,1.6,4,5.6,"49,490",Associate's degree,4,None,4,None,
19-4043,"Geological Technicians, Except Hydrologic Technicians",0.1266905854,9.8,10,0.1,1.5,1.3,"48,390",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4044,Hydrologic Technicians,0.2342240589,3.1,3,-0.1,-2.1,0.4,"58,570",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4051,Nuclear Technicians,0.1573063054,6,5.5,-0.5,-7.7,0.7,"104,240",Associate's degree,4,None,4,Moderate-term on-the-job training,
19-4061,Social Science Research Assistants,0.2180985267,40.6,42.3,1.8,4.4,5.2,"58,040",Bachelor's degree,3,None,4,None,
19-4071,Forest and Conservation Technicians,0.05051635829,33.8,32.7,-1.1,-3.2,3.9,"54,310",Associate's degree,4,None,4,None,
19-4092,Forensic Science Technicians,0.1811997494,20.7,23.3,2.6,12.8,2.9,"67,440",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.1734579693,83.2,86.2,2.9,3.5,10.6,"60,130",Associate's degree,4,None,4,None,
19-5011,Occupational Health and Safety Specialists,0.1526791433,131.9,148.4,16.5,12.5,14.9,"83,910",Bachelor's degree,3,None,4,None,
19-5012,Occupational Health and Safety Technicians,0.1050641081,31.9,34.6,2.7,8.5,3.4,"58,440",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",0.32509211,376.3,389.6,13.3,3.5,31,"65,140",Master's degree,2,None,4,None,
21-1013,Marriage and Family Therapists,0.2307794682,77.8,87.7,9.8,12.6,7.7,"63,780",Master's degree,2,None,4,Internship/residency,
21-1015,Rehabilitation Counselors,0.2322941019,91.9,93.2,1.3,1.4,10,"46,110",Master's degree,2,None,4,None,
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",0.1797021349,483.5,564.6,81,16.8,48.3,"59,190",Master's degree,2,None,4,Internship/residency,
21-1021,"Child, Family, and School Social Workers",0.3336678071,399.9,413.3,13.4,3.4,35.1,"58,570",Bachelor's degree,3,None,4,None,
21-1022,Healthcare Social Workers,0.1887338677,193.2,208.1,14.8,7.7,18.4,"68,090",Master's degree,2,None,4,Internship/residency,
21-1023,Mental Health and Substance Abuse Social Workers,0.1456733222,136.8,150.1,13.3,9.7,13.5,"60,060",Master's degree,2,None,4,Internship/residency,
21-1091,Health Education Specialists,0.1910474527,71.8,75,3.2,4.5,7.9,"63,000",Bachelor's degree,3,None,4,None,
21-1092,Probation Officers and Correctional Treatment Specialists,0.2884751437,92.3,94.8,2.4,2.6,7.9,"64,520",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
21-1093,Social and Human Service Assistants,0.2576125498,449.6,478.5,28.9,6.4,50.6,"45,120",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
21-1094,Community Health Workers,0.3072587545,65.1,72.5,7.4,11.3,7.8,"51,030",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
21-2011,Clergy,0.2947585254,262,264.6,2.6,1,23,"60,820",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
21-2021,"Directors, Religious Activities and Education",0.224633138,138.9,141.8,2.9,2.1,13.8,"54,840",Bachelor's degree,3,Less than 5 years,2,None,
23-1011,Lawyers,0.1802546459,864.8,900.7,35.9,4.1,31.5,"151,160",Doctoral or professional degree,1,None,4,None,
23-1012,Judicial Law Clerks,0.07385649953,14.5,14.9,0.4,2.5,1,"60,400",Doctoral or professional degree,1,None,4,None,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.1404858462,17.5,17.4,-0.1,-0.7,0.5,"115,230",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,
23-1022,"Arbitrators, Mediators, and Conciliators",0.1115926302,9.1,9.5,0.4,4.3,0.3,"67,710",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,
23-1023,"Judges, Magistrate Judges, and Magistrates",0.07632906332,27.3,28,0.7,2.5,0.9,"156,210",Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,
23-2011,Paralegals and Legal Assistants,0.05712267912,376.2,376.8,0.6,0.2,39.3,"61,010",Associate's degree,4,None,4,None,
23-2093,"Title Examiners, Abstractors, and Searchers",0.06741061972,57.4,58.5,1.1,2,5.4,"54,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
25-1011,"Business Teachers, Postsecondary",0.367011664,103.1,109,5.8,5.7,8.1,"97,270",Doctoral or professional degree,1,None,4,None,
25-1021,"Computer Science Teachers, Postsecondary",0.3335594292,44.8,47.2,2.4,5.3,3.5,"96,690",Doctoral or professional degree,1,None,4,None,
