"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver","=""53-3011""","12.3","12.1","-0.2","-1.3","1.4","34,330","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Amusement and recreation attendants    * Amusement Park Worker* Animal Ride Attendant* Arcade Attendant* Carnival Worker* Ferris Wheel Operator* Golf Caddy* Ice Rink Attendant* Ride Operator* Rides Attendant* Ski Lift Attendant* Ski Lift Operator* Sports Complex Attendant","=""39-3091""","392.3","405.5","13.2","3.4","102.4","30,490","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Anesthesiologists    * Ambulatory Anesthesiologist* Anaesthesiologist* Anesthetist* Attending Anesthesiologist* Obstetrical Anesthesiologist* Staff Anesthetist","=""29-1211""","45.3","46.7","1.4","3.2","1.3",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Animal breeders    * Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager","=""45-2021""","7.9","8.1","0.2","2.4","1.2","52,000","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Animal caretakers    * Animal Care Giver* Animal Care Technician* Animal Caregiver* Animal Daycare Provider* Animal Groomer* Animal Shelter Worker* Animal Sitter* Aquarist* Aquarium Tank Attendant* Cat and Dog Bather* Dog Bather* Dog Beautician* Dog Groomer* Dog Sitter* Horse Exerciser* Kennel Aide* Kennel Attendant* Kennel Helper* Kennel Worker* Pet Feeder* Pet Groomer* Pet Sitter* Pet Stylist* Zookeeper","=""39-2021""","392.1","439.6","47.6","12.1","74.6","33,470","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Animal control workers    * Animal Control Officer* Animal Cruelty Investigator* Animal Treatment Investigator* Animal Warden* Dog Catcher* Dog Warden* Humane Officer","=""33-9011""","12.2","12.7","0.5","3.9","1.3","45,830","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Animal scientists    * Animal Geneticist* Animal Nutritionist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher","=""19-1011""","2.8","2.9","0.2","5.8","0.2","79,120","Bachelor's degree","3","None","4","None","6"
"Animal trainers    * Dog Handler* Dog Trainer* Dolphin Trainer* Guide Dog Instructor* Guide Dog Mobility Instructor* Guide Dog Trainer* Horse Breaker* Licensed Guide Dog Instructor* Lion Trainer* Marine Mammal Trainer* Seeing Eye Dog Trainer","=""39-2011""","47.3","49.8","2.4","5.1","7.1","38,750","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist","=""19-3091""","8.8","9.2","0.3","3.7","0.8","64,910","Master's degree","2","None","4","None","6"
"Anthropology and archeology teachers, postsecondary    * Cultural Anthropology Professor* Ethnoarchaeology Professor* Near East Archeology Professor* Paleology Professor* Sociocultural Anthropology Professor","=""25-1061""","6.5","6.7","0.2","2.7","0.5","95,770","Doctoral or professional degree","1","None","4","None","6"
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman","=""23-1022""","9.1","9.5","0.4","4.3","0.3","67,710","Bachelor's degree","3","Less than 5 years","2","Moderate-term on-the-job training","4"
"Architects, except landscape and naval    * Building Architect* Building Architectural Designer* Structural Architect","=""17-1011""","123.6","128.4","4.8","3.9","7.8","96,690","Bachelor's degree","3","None","4","Internship/residency","1"
"Architectural and civil drafters    * Architectural Drafter* Building Drafter* Civil Computer-Aided Design and Drafting Technician* Civil Drafter* Structural Drafter","=""17-3011""","110.5","115.1","4.6","4.1","10.0","64,280","Associate's degree","4","None","4","None","6"
"Architectural and engineering managers    * Electrical Engineering Director* Engineering Design Manager* Engineering Manager* Engineering Research Manager* Global Engineering Manager* Mechanical Engineering Director* Process Engineering Manager","=""11-9041""","212.5","220.5","8.0","3.8","14.5","167,740","Bachelor's degree","3","5 years or more","1","None","6"
"Architecture teachers, postsecondary    * Architectural Design Professor* Architecture Professor* Interior Design Professor* Landscape Architecture Professor","=""25-1031""","11.6","11.9","0.2","2.0","0.9","101,480","Doctoral or professional degree","1","None","4","None","6"
"Archivists    * Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist","=""25-4011""","9.3","9.7","0.4","3.8","1.1","61,570","Master's degree","2","None","4","None","6"
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor","=""25-1062""","14.5","14.8","0.3","2.4","1.1","84,290","Doctoral or professional degree","1","None","4","None","6"
"Art directors    * Magazine Designer","=""27-1011""","135.0","140.7","5.7","4.2","12.3","111,040","Bachelor's degree","3","5 years or more","1","None","6"
"Art, drama, and music teachers, postsecondary    * Ballet Professor* Graphic Design Professor* Media Arts Professor* Music Professor* Photography Professor* Piano Performance and Pedagogy Professor* Piano Professor* Scene and Lighting Design Lecturer* Stagecraft Professor* Theatre Professor* Voice Professor","=""25-1121""","122.8","124.8","2.1","1.7","9.0","80,190","Master's degree","2","None","4","None","6"
"Artists and related workers, all other    * Calligrapher* Tattoo Artist","=""27-1019""","13.9","14.0","0.1","0.8","1.2","72,760","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Astronomers    * Astrophysicist* Cosmologist* Extragalactic Astronomer* Galactic Astronomer* High-energy Astrophysicist* Optical Astronomer* Planetary Astronomer* Radio Astronomer* Solar Astronomer* Stellar Astronomer* Theoretical Astronomer","=""19-2011""","1.8","1.8","0.0","2.2","0.1","132,170","Doctoral or professional degree","1","None","4","None","6"
"Athletes and sports competitors    * National Association for Stock Car Auto Racing Driver* Profession Cyclist* Professional All Terrain Vehicle Racer* Professional Athlete* Professional Auto Racer* Professional Baseball Pitcher* Professional Baseball Player* Professional Basketball Player* Professional Bass Fisher* Professional Bicycle Racer* Professional Bicyclist* Professional Billiard Player* Professional Bowler* Professional Bull Rider* Professional Car Racer* Professional Dirt Bike Racer* Professional Drag Car Racer* Professional Figure Skater* Professional Football Player* Professional Golfer* Professional Hockey Player* Professional Horse Racer* Professional Ice Skater* Professional Jockey* Professional Kick Boxer* Professional Motocross Racer* Professional Prize Fighter* Professional Pugilist* Professional Race Car Driver* Professional Roller Skater* Professional Skater* Professional Skier* Professional Snowboarder* Professional Soccer Player* Professional Softball Player* Professional Stock Car Driver* Professional Surfer* Professional Swimmer* Professional Tennis Player* Professional Volleyball Player* Professional Wrestler","=""27-2021""","19.1","20.2","1.0","5.5","2.1","62,360","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Athletic trainers    * Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer","=""29-9091""","33.9","37.6","3.8","11.1","2.4","60,250","Master's degree","2","None","4","None","6"
"Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman","=""19-2021""","9.4","9.5","0.1","0.7","0.7","97,450","Bachelor's degree","3","None","4","None","6"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor","=""25-1051""","14.0","14.4","0.4","2.6","1.0","101,390","Doctoral or professional degree","1","None","4","None","6"
"Audio and video technicians    * Audio-Visual Production Specialist* Event AV Operator* Video Control Operator* Video Equipment Technician* Video Production Assistant","=""27-4011""","92.3","95.4","3.1","3.3","7.3","54,830","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Audiologists    * Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist","=""29-1181""","15.8","17.3","1.5","9.5","0.7","92,120","Doctoral or professional degree","1","None","4","None","6"
"Audiovisual equipment installers and repairers    * Cable Installation Technician* Electric Organ Checker* Electronic Musical Instrument Repairer* Home Stereo Equipment Installer* Home Theater Installer* Satellite Dish Installer* Stereo Equipment Installer* Television Installer* Television Repairer* Wireless Internet Installer","=""49-2097""","24.6","26.3","1.6","6.6","2.6","50,620","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Automotive and watercraft service attendants    * Auto Service Station Attendant* Gas Pump Attendant* Gas Station Attendant* Gas and Oil Servicer* Oil Changer* Pump Jockey* Service Station Attendant","=""53-6031""","100.0","99.0","-1.0","-1.0","14.4","34,850","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander","=""49-3021""","172.6","175.4","2.8","1.6","14.6","51,680","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Automotive glass installers and repairers    * Auto Glass Installer* Auto Glass Mechanic* Automotive Glass Technician* Automotive Glazier* Windshield Installer* Windshield Repair Technician","=""49-3022""","20.4","21.1","0.7","3.6","1.4","47,260","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Automotive service technicians and mechanics    * Auto Clutch Rebuilder* Auto Clutch Specialist* Auto Radiator Specialist* Auto Suspension and Steering Mechanic* Auto Transmission Specialist* Automotive Alignment Specialist* Automotive Brake Adjuster* Automotive Brake Specialist* Automotive Brake Technician* Automotive Fuel Injection Servicer* Automotive Fuel Systems Converter* Automotive Specialty Technician* Hybrid Car Mechanic* Motor Tune-Up Specialist","=""49-3023""","805.6","839.2","33.6","4.2","70.0","49,670","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer","=""49-2091""","21.4","23.1","1.7","8.2","1.8","81,390","Postsecondary nondegree award","5","None","4","None","6"
"Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap","=""39-6011""","32.5","32.0","-0.5","-1.6","4.6","36,020","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Bailiffs    * City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff","=""33-3011""","19.0","18.6","-0.4","-2.2","1.8","57,050","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bakers    * Bagel Maker* Bread Baker* Dough Maker* Pastry Baker* Pastry Finisher* Pie Baker* Pie Maker","=""51-3011""","249.1","263.2","14.0","5.6","39.9","36,650","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Barbers    * Barber Apprentice* Master Barber","=""39-5011""","76.0","79.2","3.1","4.1","8.4","38,960","Postsecondary nondegree award","5","None","4","None","6"
"Bartenders    * Barkeep* Drink Mixer* Mixologist* Taproom Attendant","=""35-3011""","756.7","801.5","44.8","5.9","129.6","33,530","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bicycle repairers    * Bicycle Mechanic* Bicycle Service Technician* Bike Mechanic","=""49-3091""","13.2","12.9","-0.3","-2.3","1.6","40,360","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor","=""43-3011""","166.9","149.4","-17.5","-10.5","13.7","46,040","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor","=""43-3021""","429.8","427.9","-1.9","-0.4","42.2","47,170","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist","=""19-1021""","35.6","37.6","2.1","5.8","2.9","103,650","Doctoral or professional degree","1","None","4","None","6"
"Bioengineers and biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer","=""17-2031""","22.2","23.3","1.1","5.2","1.3","106,950","Bachelor's degree","3","None","4","None","6"
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor","=""25-1042""","66.0","70.8","4.8","7.3","5.4","83,460","Doctoral or professional degree","1","None","4","None","6"
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","=""19-1029""","63.7","64.5","0.8","1.2","4.8","93,330","Bachelor's degree","3","None","4","None","6"
"Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician","=""19-4021""","82.7","85.6","2.9","3.5","9.1","52,000","Bachelor's degree","3","None","4","None","6"
"Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker Mechanic","=""47-2011""","10.4","10.1","-0.2","-2.4","0.8","73,340","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk","=""43-3031""","1,613.4","1,519.1","-94.3","-5.8","170.0","49,210","Some college, no degree","6","None","4","Moderate-term on-the-job training","4"
"Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer","=""47-2021""","74.1","76.4","2.4","3.2","5.6","60,800","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator","=""53-6011""","2.9","2.8","-0.1","-3.3","0.3","58,490","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Broadcast announcers and radio disc jockeys    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disc Jockey* Radio Host* Talk Show Host* Television Host","=""27-3011""","24.1","22.8","-1.3","-5.5","2.3","45,680","Bachelor's degree","3","None","4","None","6"
"Broadcast technicians    * Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer","=""27-4012""","24.8","24.2","-0.7","-2.8","1.8","53,920","Associate's degree","4","None","4","Short-term on-the-job training","5"
"Brokerage clerks    * Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk","=""43-4011""","40.8","36.9","-3.9","-9.5","4.1","62,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","=""13-2031""","50.4","51.0","0.5","1.0","3.1","87,930","Bachelor's degree","3","None","4","None","6"
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper","=""37-2019""","18.1","18.5","0.5","2.5","2.6","42,360","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician","=""49-3031""","319.9","327.7","7.8","2.4","26.5","60,640","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Bus drivers, school    * School Bus Driver* School Bus Operator* Special Education Bus Driver","=""53-3051""","387.3","388.2","0.9","0.2","61.0","47,040","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Bus drivers, transit and intercity    * Charter Coach Driver* Motor Coach Bus Driver* Motor Coach Driver* Motor Coach Tour Operator* Public Transit Bus Driver* Public Transit Trolley Driver","=""53-3052""","158.8","165.6","6.8","4.3","20.9","57,440","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Business operations specialists, all other    * Mystery Shopper* Ship Purser","=""13-1199""","1,205.7","1,242.0","36.3","3.0","108.2","81,270","Bachelor's degree","3","None","4","None","6"
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","=""25-1011""","103.1","109.0","5.8","5.7","8.1","97,270","Doctoral or professional degree","1","None","4","None","6"
"Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker","=""51-3021""","143.1","144.5","1.4","1.0","16.9","38,960","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Buyers and purchasing agents","=""13-1020""","522.2","552.3","30.1","5.8","52.2","75,650","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler","=""51-7011""","86.0","84.7","-1.4","-1.6","8.1","46,020","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Calibration technologists and technicians    * Calibration Technician* Calibration Technologist* Hydrometer Calibrator","=""17-3028""","15.8","16.5","0.7","4.7","1.4","65,040","Associate's degree","4","None","4","None","6"
"Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician","=""49-9061""","2.3","1.9","-0.3","-15.1","0.2","49,300","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Camera operators, television, video, and film    * Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""","36.4","36.9","0.4","1.2","2.9","68,810","Bachelor's degree","3","None","4","None","6"
"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot","=""53-5021""","40.7","40.9","0.2","0.5","4.3","85,540","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Cardiologists    * Electrophysiology Cardiologist* Interventional Cardiologist","=""29-1212""","19.4","20.2","0.8","4.1","0.6",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
